snapshot_date,gudang,produk_id,available_stock,reserved_stock,reorder_point
2026-06-30,Gudang Barat,1,31,7,31
2026-06-30,Gudang Timur,1,31,7,31
2026-06-30,Gudang Pusat,1,31,7,31
2026-06-30,Gudang Transit,1,33,7,31
2026-06-30,Gudang Barat,2,50,14,32
2026-06-30,Gudang Timur,2,50,14,32
2026-06-30,Gudang Pusat,2,50,14,32
2026-06-30,Gudang Transit,2,52,14,32
2026-06-30,Gudang Barat,3,69,21,33
2026-06-30,Gudang Timur,3,69,21,33
2026-06-30,Gudang Pusat,3,69,21,33
2026-06-30,Gudang Transit,3,71,21,33
2026-06-30,Gudang Barat,4,88,28,34
2026-06-30,Gudang Timur,4,88,28,34
2026-06-30,Gudang Pusat,4,88,28,34
2026-06-30,Gudang Transit,4,90,28,34
2026-06-30,Gudang Barat,5,107,35,35
2026-06-30,Gudang Timur,5,107,35,35
2026-06-30,Gudang Pusat,5,107,35,35
2026-06-30,Gudang Transit,5,109,35,35
2026-06-30,Gudang Barat,6,126,42,36
2026-06-30,Gudang Timur,6,126,42,36
2026-06-30,Gudang Pusat,6,126,42,36
2026-06-30,Gudang Transit,6,128,42,36
2026-06-30,Gudang Barat,7,145,49,37
2026-06-30,Gudang Timur,7,145,49,37
2026-06-30,Gudang Pusat,7,145,49,37
2026-06-30,Gudang Transit,7,147,49,37
2026-06-30,Gudang Barat,8,164,56,38
2026-06-30,Gudang Timur,8,164,56,38
2026-06-30,Gudang Pusat,8,164,56,38
2026-06-30,Gudang Transit,8,166,56,38
2026-06-30,Gudang Barat,9,183,63,39
2026-06-30,Gudang Timur,9,183,63,39
2026-06-30,Gudang Pusat,9,183,63,39
2026-06-30,Gudang Transit,9,185,63,39
2026-06-30,Gudang Barat,10,202,70,40
2026-06-30,Gudang Timur,10,202,70,40
2026-06-30,Gudang Pusat,10,202,70,40
2026-06-30,Gudang Transit,10,204,70,40
2026-06-30,Gudang Barat,11,221,77,41
2026-06-30,Gudang Timur,11,221,77,41
2026-06-30,Gudang Pusat,11,221,77,41
